"","Year","State","what","unit","how","Category","chemi_type","ferti_info","chemi_info","Value"
"18",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(COPPER OCTANOATE = 23306)",0
"19",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(CYFLUFENAMID = 555550)",400
"20",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(CYPRODINIL = 288202)",16600
"21",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(DIFENOCONAZOLE = 128847)",900
"22",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(FENHEXAMID = 90209)",15000
"23",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(FLUDIOXONIL = 71503)",11100
"24",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(FLUOPYRAM = 80302)",3900
"25",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(FLUXAPYROXAD = 138009)",3900
"26",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(FOSETYL-AL = 123301)",34200
"27",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(ISOFETAMID = 270000)",0
"28",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(MEFENOXAM = 113502)",9300
"29",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(MONO-POTASSIUM SALT = 76416)",0
"30",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(MYCLOBUTANIL = 128857)",5600
"31",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(PENTHIOPYRAD = 90112)",7000
"32",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(POLYOXIN D ZINC SALT = 230000)",1400
"33",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(POTASSIUM BICARBON. = 73508)",11300
"34",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(PROPICONAZOLE = 122101)",1600
"35",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(PYRACLOSTROBIN = 99100)",7400
"36",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(PYRIMETHANIL = 288201)",9300
"37",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(QUINOLINE = 55459)",4800
"38",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(STREPTOMYCES LYDICUS = 6327)",0
"39",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(SULFUR = 77501)",686000
"40",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(TETRACONAZOLE = 120603)",600
"41",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(THIOPHANATE-METHYL = 102001)",3300
"42",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(THIRAM = 79801)",90900
"43",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(TOTAL)",1233500
"44",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(TRICHODERMA HARZ. = 119202)",0
"45",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(TRIFLOXYSTROBIN = 129112)",4200
"46",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","FUNGICIDE","","(TRIFLUMIZOLE = 128879)",7200
"47",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(CARFENTRAZONE-ETHYL = 128712)",200
"48",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(FLUMIOXAZIN = 129034)",1100
"49",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(GLUFOSINATE-AMMONIUM = 128850)",0
"50",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(GLYPHOSATE ISO. SALT = 103601)",0
"51",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(GLYPHOSATE POT. SALT = 103613)",0
"52",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(NAPROPAMIDE = 103001)",0
"53",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(OXYFLUORFEN = 111601)",1300
"54",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(PARAQUAT = 61601)",0
"55",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(PENDIMETHALIN = 108501)",5500
"56",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(SULFENTRAZONE = 129081)",0
"57",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","HERBICIDE","","(TOTAL)",10200
"58",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(ABAMECTIN = 122804)",500
"59",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(ACEQUINOCYL = 6329)",5400
"60",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(ACETAMIPRID = 99050)",2800
"61",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(AZADIRACHTIN = 121701)",800
"62",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(BEAUVERIA BASSIANA = 128924)",0
"63",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(BIFENAZATE = 586)",17900
"64",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(BIFENTHRIN = 128825)",7300
"65",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(BT KURSTAK ABTS-1857 = 6523)",0
"66",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(BT KURSTAKI ABTS-351 = 6522)",0
"67",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(BT KURSTAKI SA-11 = 6519)",0
"68",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(BT SUB AIZAWAI GC-91 = 6426)",0
"69",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(BUPROFEZIN = 275100)",0
"70",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(BURKHOLDERIA A396 CELLS & MEDIA = 6534)",0
"71",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(CARBARYL = 56801)",0
"72",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(CHLORANTRANILIPROLE = 90100)",1900
"73",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(CHLORPYRIFOS = 59101)",0
"74",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)",0
"75",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(CYANTRANILIPROLE = 90098)",900
"76",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(CYFLUMETOFEN = 138831)",5200
"77",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(ETOXAZOLE = 107091)",1200
"78",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(FENBUTATIN-OXIDE = 104601)",0
"79",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(FENPROPATHRIN = 127901)",6000
"80",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(FENPYROXIMATE = 129131)",400
"81",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(FLONICAMID = 128016)",3300
"82",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(FLUPYRADIFURONE = 122304)",4800
"83",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(HELICOVERPA ZEA NPV = 107300)",0
"84",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(HEXYTHIAZOX = 128849)",2300
"85",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(IMIDACLOPRID = 129099)",3500
"86",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(MALATHION = 57701)",56700
"87",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(METHOXYFENOZIDE = 121027)",3300
"88",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(NALED = 34401)",12700
"89",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(NEEM OIL = 25006)",1100
"90",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(NEEM OIL",51600
"91",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(NOVALURON = 124002)",4600
"92",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(PIPERONYL BUTOXIDE = 67501)",1200
"93",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(POTASSIUM SALTS = 79021)",0
"94",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(PYRETHRINS = 69001)",200
"95",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(PYRIDABEN = 129105)",0
"96",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(PYRIPROXYFEN = 129032)",100
"97",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(SOYBEAN OIL = 31605)",0
"98",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(SPINETORAM = 110007)",2300
"99",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(SPINOSAD = 110003)",600
"100",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(SPIROMESIFEN = 24875)",1800
"101",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(SULFOXAFLOR = 5210)",1000
"102",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(THIAMETHOXAM = 60109)",1400
"103",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(TOTAL)",212600
"104",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","INSECTICIDE","","(ZETA-CYPERMETHRIN = 129064)",0
"105",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(ACIBENZOLAR-S-METHYL = 61402)",0
"106",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(AUREOBASIDIUM PULLULANS DSM 14940 = 46010)",0
"107",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(AUREOBASIDIUM PULLULANS DSM 14941 = 36010)",0
"108",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(BT KURSTAKI SA-12 = 6518)",0
"109",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(CAPRIC ACID = 128955)",0
"110",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(CAPRYLIC ACID = 128919)",0
"111",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(CHLOROPICRIN = 81501)",6146600
"112",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(DICHLOROPROPENE = 29001)",1045700
"113",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(FLUTRIAFOL = 128940)",1700
"114",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(GLIOCLADIUM VIRENS = 129000)",0
"115",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(HYDROGEN PEROXIDE = 595)",0
"116",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(IRON PHOSPHATE = 34903)",100
"117",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(METALDEHYDE = 53001)",0
"118",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(METAM-POTASSIUM = 39002)",254000
"119",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(METAM-SODIUM = 39003)",244000
"120",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(PAECILOMYCES FUMOSOR = 115002)",0
"121",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(PEROXYACETIC ACID = 63201)",0
"122",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(POTASSIUM SILICATE = 72606)",0
"123",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(REYNOUTRIA SACHALINE = 55809)",600
"124",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(TOTAL)",7698900
"125",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","CHEMICAL","OTHER","","(TRICHODERMA VIRENS STRAIN G-41 = 176604)",0
"126",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","FERTILIZER","","(NITROGEN)","",668000
"127",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","FERTILIZER","","(PHOSPHATE)","",493000
"128",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","FERTILIZER","","(POTASH)","",430000
"129",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB","","FERTILIZER","","(SULFUR)","",57000
"130",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(AZOXYSTROBIN = 128810)",0.205
"131",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)",0
"132",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",0
"133",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(BACILLUS PUMILUS = 6485)",0
"134",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(BACILLUS SUBT. GB03 = 129068)",0
"135",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(BACILLUS SUBTILIS = 6479)",0
"136",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(BLAD = 30006)",0.482
"137",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(BORAX DECAHYDRATE = 11102)",0.023
"138",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(BOSCALID = 128008)",0.337
"139",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(BT SUBSP KURSTAKI EVB-113-19 = 6544)",0
"140",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(CAPTAN = 81301)",1.739
"141",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(COPPER HYDROXIDE = 23401)",0
"142",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(COPPER OCTANOATE = 23306)",0
"143",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(CYFLUFENAMID = 555550)",0.023
"144",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(CYPRODINIL = 288202)",0.32
"145",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(DIFENOCONAZOLE = 128847)",0.114
"146",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(FENHEXAMID = 90209)",0.623
"147",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(FLUDIOXONIL = 71503)",0.213
"148",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(FLUOPYRAM = 80302)",0.113
"149",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(FLUXAPYROXAD = 138009)",0.168
"150",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(FOSETYL-AL = 123301)",3.997
"151",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(ISOFETAMID = 270000)",0
"152",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(MEFENOXAM = 113502)",0.493
"153",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(MONO-POTASSIUM SALT = 76416)",0
"154",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(MYCLOBUTANIL = 128857)",0.106
"155",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(PENTHIOPYRAD = 90112)",0.303
"156",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(POLYOXIN D ZINC SALT = 230000)",0.073
"157",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(POTASSIUM BICARBON. = 73508)",2.381
"158",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(PROPICONAZOLE = 122101)",0.112
"159",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(PYRACLOSTROBIN = 99100)",0.169
"160",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(PYRIMETHANIL = 288201)",0.51
"161",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(QUINOLINE = 55459)",0.097
"162",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(STREPTOMYCES LYDICUS = 6327)",0
"163",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(SULFUR = 77501)",3.656
"164",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(TETRACONAZOLE = 120603)",0.039
"165",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(THIOPHANATE-METHYL = 102001)",0.669
"166",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(THIRAM = 79801)",2.219
"167",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(TRICHODERMA HARZ. = 119202)",0
"168",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(TRIFLOXYSTROBIN = 129112)",0.113
"169",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","FUNGICIDE","","(TRIFLUMIZOLE = 128879)",0.23
"170",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(CARFENTRAZONE-ETHYL = 128712)",0.024
"171",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(FLUMIOXAZIN = 129034)",0.089
"172",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(GLUFOSINATE-AMMONIUM = 128850)",0
"173",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(GLYPHOSATE ISO. SALT = 103601)",0
"174",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(GLYPHOSATE POT. SALT = 103613)",0
"175",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(NAPROPAMIDE = 103001)",0
"176",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(OXYFLUORFEN = 111601)",0.313
"177",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(PARAQUAT = 61601)",0
"178",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(PENDIMETHALIN = 108501)",1.202
"179",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","HERBICIDE","","(SULFENTRAZONE = 129081)",0
"180",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","INSECTICIDE","","(ABAMECTIN = 122804)",0.019
"181",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","INSECTICIDE","","(ACEQUINOCYL = 6329)",0.297
"182",2019,"CALIFORNIA","BEARING - APPLICATIONS","LB / ACRE / APPLICATION"," AVG","CHEMICAL","INSECTICIDE","","(ACETAMIPRID = 99050)",0.126
